Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,30.500000,30.500000,30.500000,30.500000,30.500000,20363
2020-01-02,32.000000,32.000000,32.000000,32.000000,32.000000,29210
2020-01-03,33.599998,33.599998,33.599998,33.599998,33.599998,40563
2020-01-06,35.250000,35.250000,35.250000,35.250000,35.250000,187015
2020-01-07,37.000000,37.000000,37.000000,37.000000,37.000000,22234
2020-01-08,38.849998,38.849998,38.849998,38.849998,38.849998,25941
2020-01-09,40.750000,40.750000,40.750000,40.750000,40.750000,36607
2020-01-10,42.750000,42.750000,42.750000,42.750000,42.750000,50345
2020-01-13,44.849998,44.849998,44.849998,44.849998,44.849998,55908
2020-01-14,47.049999,47.049999,47.049999,47.049999,47.049999,71128
2020-01-15,49.400002,49.400002,49.400002,49.400002,49.400002,57303
2020-01-16,46.950001,46.950001,46.950001,46.950001,46.950001,185819
2020-01-17,44.650002,44.650002,44.650002,44.650002,44.650002,36294
2020-01-20,42.450001,42.450001,42.450001,42.450001,42.450001,7584
2020-01-21,40.349998,40.349998,40.349998,40.349998,40.349998,7545
2020-01-22,38.349998,38.349998,38.349998,38.349998,38.349998,8410
2020-01-23,36.450001,36.450001,36.450001,36.450001,36.450001,10954
2020-01-24,34.650002,34.650002,34.650002,34.650002,34.650002,14426
2020-01-27,32.950001,32.950001,32.950001,32.950001,32.950001,11815
2020-01-28,31.350000,34.549999,31.350000,34.400002,34.400002,711417
2020-01-29,35.849998,35.849998,32.700001,32.700001,32.700001,174870
2020-01-30,31.100000,31.100000,31.100000,31.100000,31.100000,48684
2020-01-31,29.549999,29.549999,29.549999,29.549999,29.549999,16586
2020-02-03,26.700001,26.700001,26.700001,26.700001,26.700001,12433
2020-02-04,25.400000,25.400000,25.400000,25.400000,25.400000,10475
2020-02-05,24.150000,26.650000,24.150000,24.150000,24.150000,193979
2020-02-06,22.950001,25.350000,22.950001,25.350000,25.350000,157868
2020-02-07,26.600000,26.600000,26.600000,26.600000,26.600000,27883
2020-02-10,27.900000,27.900000,27.900000,27.900000,27.900000,26516
2020-02-11,29.250000,29.250000,29.250000,29.250000,29.250000,30148
2020-02-12,30.700001,30.700001,30.700001,30.700001,30.700001,38265
2020-02-13,31.950001,31.950001,29.200001,29.200001,29.200001,107717
2020-02-14,27.750000,27.750000,27.750000,27.750000,27.750000,79686
2020-02-17,26.400000,27.750000,26.400000,26.600000,26.600000,56927
2020-02-18,25.299999,27.000000,25.299999,25.350000,25.350000,56185
2020-02-19,26.600000,26.600000,26.600000,26.600000,26.600000,29497
2020-02-20,27.900000,27.900000,27.900000,27.900000,27.900000,28255
2020-02-24,29.250000,29.250000,26.549999,27.150000,27.150000,208138
2020-02-25,26.000000,28.500000,25.799999,28.200001,28.200001,122130
2020-02-26,28.750000,28.750000,26.900000,27.250000,27.250000,35597
2020-02-27,28.000000,28.450001,25.900000,25.950001,25.950001,60614
2020-02-28,25.200001,27.200001,24.700001,25.100000,25.100000,63081
2020-03-02,25.200001,26.200001,23.850000,23.900000,23.900000,91390
2020-03-03,25.000000,25.000000,22.750000,22.750000,22.750000,85272
2020-03-04,22.750000,23.000000,21.650000,21.650000,21.650000,48090
2020-03-05,21.650000,22.700001,21.500000,22.700001,22.700001,36538
2020-03-06,22.700001,22.700001,21.600000,21.600000,21.600000,92982
2020-03-09,20.549999,20.549999,20.549999,20.549999,20.549999,40663
2020-03-11,19.549999,19.549999,19.549999,19.549999,19.549999,67978
2020-03-12,18.600000,18.600000,18.600000,18.600000,18.600000,22700
2020-03-13,17.700001,17.700001,17.700001,17.700001,17.700001,38180
2020-03-16,17.400000,17.400000,16.850000,16.850000,16.850000,60323
2020-03-17,16.850000,16.850000,16.049999,16.100000,16.100000,90274
2020-03-18,15.300000,16.900000,15.300000,15.850000,15.850000,119268
2020-03-19,16.000000,16.600000,15.100000,15.900000,15.900000,119040
2020-03-20,16.000000,16.600000,15.200000,15.850000,15.850000,88172
2020-03-23,15.500000,16.600000,15.100000,15.100000,15.100000,41268
2020-03-24,14.900000,15.100000,14.350000,14.350000,14.350000,41123
2020-03-25,13.650000,14.500000,13.650000,13.650000,13.650000,61661
2020-03-26,13.000000,14.300000,13.000000,13.850000,13.850000,103124
2020-03-27,14.450000,14.450000,13.350000,13.650000,13.650000,56146
2020-03-30,14.000000,14.150000,13.100000,13.800000,13.800000,65380
2020-03-31,14.100000,14.100000,13.200000,13.650000,13.650000,49302
2020-04-01,13.900000,14.300000,13.400000,14.300000,14.300000,48412
2020-04-03,15.000000,15.000000,14.300000,15.000000,15.000000,41633
2020-04-07,15.750000,15.750000,15.750000,15.750000,15.750000,57825
2020-04-08,16.500000,16.500000,15.850000,16.500000,16.500000,49312
2020-04-09,17.299999,17.299999,17.299999,17.299999,17.299999,31524
2020-04-13,17.000000,18.150000,17.000000,18.150000,18.150000,92090
2020-04-15,19.049999,19.049999,18.950001,19.049999,19.049999,39249
2020-04-16,20.000000,20.000000,20.000000,20.000000,20.000000,31525
2020-04-17,21.000000,21.000000,21.000000,21.000000,21.000000,43698
2020-04-20,22.049999,22.049999,22.049999,22.049999,22.049999,42795
2020-04-21,23.150000,23.150000,23.150000,23.150000,23.150000,59363
2020-04-22,24.299999,24.299999,24.299999,24.299999,24.299999,71741
2020-04-23,25.500000,25.500000,25.500000,25.500000,25.500000,92226
2020-04-24,26.500000,26.700001,24.250000,24.250000,24.250000,99470
2020-04-27,23.049999,23.049999,23.049999,23.049999,23.049999,23617
2020-04-28,21.900000,21.900000,21.900000,21.900000,21.900000,19521
2020-04-29,20.850000,20.850000,20.850000,20.850000,20.850000,39174
2020-04-30,19.850000,19.850000,19.850000,19.850000,19.850000,69403
2020-05-04,18.900000,18.900000,18.900000,18.900000,18.900000,51529
2020-05-05,18.000000,18.000000,18.000000,18.000000,18.000000,43990
2020-05-06,17.100000,18.900000,17.100000,18.900000,18.900000,147376
2020-05-07,19.799999,19.799999,19.500000,19.799999,19.799999,72723
2020-05-08,20.750000,20.750000,19.750000,20.650000,20.650000,172557
2020-05-11,21.450001,21.650000,20.500000,21.350000,21.350000,135946
2020-05-12,21.500000,22.000000,20.299999,20.400000,20.400000,89098
2020-05-13,19.400000,21.400000,19.400000,21.400000,21.400000,197832
2020-05-14,21.400000,21.600000,20.350000,21.000000,21.000000,77419
2020-05-15,20.100000,21.100000,20.000000,20.950001,20.950001,74022
2020-05-18,21.100000,21.500000,19.950001,19.950001,19.950001,74525
2020-05-19,19.900000,20.000000,19.000000,19.200001,19.200001,51597
2020-05-20,19.200001,19.500000,18.250000,19.299999,19.299999,35503
2020-05-21,20.250000,20.250000,20.200001,20.250000,20.250000,54050
2020-05-22,21.250000,21.250000,21.250000,21.250000,21.250000,76757
2020-05-26,22.299999,22.299999,21.000000,21.750000,21.750000,181162
2020-05-27,22.000000,22.250000,20.700001,21.000000,21.000000,76928
2020-05-28,21.049999,21.450001,20.000000,20.850000,20.850000,67265
2020-05-29,21.500000,21.850000,20.700001,21.850000,21.850000,185257
2020-06-01,22.900000,22.900000,22.900000,22.900000,22.900000,91846
2020-06-02,24.000000,24.000000,23.500000,24.000000,24.000000,121158
2020-06-03,25.100000,25.200001,25.000000,25.200001,25.200001,67252
2020-06-04,26.450001,26.450001,26.450001,26.450001,26.450001,77492
2020-06-05,27.750000,27.750000,27.750000,27.750000,27.750000,47006
2020-06-08,29.100000,29.100000,29.100000,29.100000,29.100000,49844
2020-06-09,30.549999,30.549999,30.549999,30.549999,30.549999,111405
2020-06-10,32.049999,32.049999,29.049999,29.049999,29.049999,385351
2020-06-11,27.600000,27.600000,27.600000,27.600000,27.600000,66955
2020-06-12,26.250000,26.250000,26.250000,26.250000,26.250000,68349
2020-06-15,25.100000,25.100000,24.950001,24.950001,24.950001,72818
2020-06-16,23.799999,26.150000,23.799999,26.150000,26.150000,98179
2020-06-17,27.450001,27.450001,26.000000,27.450001,27.450001,102423
2020-06-18,28.500000,28.500000,26.150000,27.900000,27.900000,108603
2020-06-19,28.549999,28.549999,27.000000,27.500000,27.500000,83256
2020-06-22,27.600000,27.600000,26.500000,26.950001,26.950001,101860
2020-06-23,27.200001,27.500000,26.549999,27.299999,27.299999,82792
2020-06-24,27.350000,27.700001,26.700001,26.950001,26.950001,88184
2020-06-25,26.900000,27.200001,26.000000,26.750000,26.750000,55923
2020-06-26,27.900000,28.049999,27.100000,28.000000,28.000000,150187
2020-06-29,29.400000,29.400000,28.250000,29.400000,29.400000,240132
2020-06-30,30.700001,30.850000,30.500000,30.850000,30.850000,89611
2020-07-01,32.349998,32.349998,32.349998,32.349998,32.349998,109222
2020-07-02,33.950001,33.950001,33.950001,33.950001,33.950001,68076
2020-07-03,35.599998,35.599998,32.299999,32.299999,32.299999,90619
2020-07-06,30.700001,30.700001,30.700001,30.700001,30.700001,20686
2020-07-07,29.200001,29.200001,29.200001,29.200001,29.200001,28475
2020-07-08,27.750000,27.750000,27.750000,27.750000,27.750000,44740
2020-07-09,26.400000,29.100000,26.400000,29.100000,29.100000,120665
2020-07-10,30.400000,30.400000,28.000000,28.150000,28.150000,134867
2020-07-13,29.500000,29.500000,27.400000,27.850000,27.850000,49130
2020-07-14,27.400000,27.400000,26.500000,26.799999,26.799999,67430
2020-07-15,25.500000,26.850000,25.500000,25.600000,25.600000,54834
2020-07-16,25.500000,26.500000,24.350000,25.650000,25.650000,43354
2020-07-17,25.650000,25.650000,24.500000,24.900000,24.900000,60575
2020-07-20,24.049999,25.500000,23.750000,25.200001,25.200001,54573
2020-07-21,26.000000,26.450001,25.250000,26.450001,26.450001,43496
2020-07-22,27.750000,27.750000,27.750000,27.750000,27.750000,36812
2020-07-23,29.100000,29.100000,29.100000,29.100000,29.100000,41542
2020-07-24,30.549999,30.549999,30.549999,30.549999,30.549999,79728
2020-07-27,32.049999,32.049999,32.049999,32.049999,32.049999,70176
2020-07-28,33.599998,33.650002,30.450001,30.450001,30.450001,126399
2020-07-29,28.950001,28.950001,28.950001,28.950001,28.950001,103726
2020-07-30,27.549999,29.000000,27.549999,28.150000,28.150000,94782
2020-07-31,29.450001,29.549999,28.000000,29.549999,29.549999,121523
2020-08-03,31.000000,31.000000,30.100000,31.000000,31.000000,146827
2020-08-04,31.950001,32.549999,31.500000,31.950001,31.950001,205659
2020-08-05,31.000000,32.150002,30.400000,31.150000,31.150000,99678
2020-08-06,31.150000,32.250000,30.200001,30.750000,30.750000,38285
2020-08-07,32.000000,32.000000,29.250000,29.799999,29.799999,84316
2020-08-10,29.799999,30.000000,29.200001,29.799999,29.799999,64868
2020-08-11,31.250000,31.250000,29.150000,30.200001,30.200001,47550
2020-08-12,31.250000,31.250000,29.400000,29.750000,29.750000,81284
2020-08-13,30.850000,30.850000,29.600000,29.850000,29.850000,59239
2020-08-14,30.000000,30.950001,29.799999,30.500000,30.500000,64226
2020-08-17,31.000000,31.000000,29.000000,29.799999,29.799999,46519
2020-08-18,30.100000,30.200001,29.450001,30.000000,30.000000,38674
2020-08-19,30.700001,30.700001,29.700001,29.950001,29.950001,32349
2020-08-20,29.900000,30.500000,29.500000,29.600000,29.600000,60351
2020-08-21,29.150000,29.950001,29.100000,29.450001,29.450001,67107
2020-08-24,29.500000,29.549999,28.750000,29.250000,29.250000,52387
2020-08-25,30.000000,30.000000,29.299999,29.500000,29.500000,62155
2020-08-26,30.799999,30.799999,29.100000,29.549999,29.549999,43420
2020-08-27,29.600000,30.700001,29.100000,29.350000,29.350000,44028
2020-08-28,30.000000,30.000000,29.200001,29.450001,29.450001,37458
2020-08-31,30.000000,30.000000,28.600000,28.750000,28.750000,82756
2020-09-01,28.600000,28.600000,27.350000,27.450001,27.450001,70725
2020-09-02,28.700001,28.700001,27.450001,27.700001,27.700001,51677
2020-09-03,28.750000,29.000000,27.500000,28.799999,28.799999,58803
2020-09-04,28.799999,29.000000,28.000000,28.400000,28.400000,40905
2020-09-07,27.500000,28.600000,27.500000,28.000000,28.000000,27042
2020-09-08,27.700001,28.200001,26.900000,27.250000,27.250000,41674
2020-09-09,27.250000,27.900000,26.000000,27.450001,27.450001,31478
2020-09-10,28.000000,28.299999,27.049999,27.700001,27.700001,24288
2020-09-11,27.850000,27.950001,26.500000,27.299999,27.299999,30892
2020-09-14,28.500000,28.500000,27.000000,27.200001,27.200001,21908
2020-09-15,27.799999,27.799999,26.500000,27.549999,27.549999,15699
2020-09-16,27.850000,27.850000,26.500000,27.200001,27.200001,30591
2020-09-17,26.600000,27.400000,26.600000,27.200001,27.200001,11599
2020-09-18,26.600000,27.250000,26.549999,26.799999,26.799999,33497
2020-09-21,26.000000,27.500000,26.000000,26.200001,26.200001,36968
2020-09-22,25.299999,26.500000,25.049999,25.750000,25.750000,29484
2020-09-23,26.000000,27.000000,24.500000,25.600000,25.600000,41857
2020-09-24,25.450001,26.000000,24.350000,24.500000,24.500000,37778
2020-09-25,24.350000,25.700001,23.650000,25.500000,25.500000,25101
2020-09-28,25.500000,26.750000,25.500000,26.750000,26.750000,43670
2020-09-29,28.049999,28.049999,28.049999,28.049999,28.049999,71079
2020-09-30,29.450001,29.450001,28.100000,28.549999,28.549999,180891
2020-10-01,28.549999,28.950001,27.200001,27.850000,27.850000,71775
2020-10-05,28.450001,28.450001,27.000000,27.549999,27.549999,39335
2020-10-06,28.350000,28.900000,27.900000,28.850000,28.850000,98470
2020-10-07,29.200001,29.700001,28.400000,28.700001,28.700001,46681
2020-10-08,30.100000,30.100000,30.100000,30.100000,30.100000,141404
2020-10-09,31.600000,31.600000,31.600000,31.600000,31.600000,79345
2020-10-12,33.150002,33.150002,33.150002,33.150002,33.150002,101149
2020-10-13,34.799999,34.799999,33.099998,34.799999,34.799999,423449
2020-10-14,34.799999,36.500000,34.799999,36.500000,36.500000,89977
2020-10-15,38.299999,38.299999,38.299999,38.299999,38.299999,47747
2020-10-16,40.200001,40.200001,40.200001,40.200001,40.200001,144149
2020-10-19,42.200001,42.200001,42.200001,42.200001,42.200001,23877
2020-10-20,44.299999,44.299999,44.299999,44.299999,44.299999,28549
2020-10-21,46.500000,46.500000,46.500000,46.500000,46.500000,22225
2020-10-22,48.799999,48.799999,48.799999,48.799999,48.799999,48007
2020-10-23,51.200001,51.200001,51.200001,51.200001,51.200001,48953
2020-10-26,53.750000,53.750000,53.750000,53.750000,53.750000,159806
2020-10-27,56.400002,56.400002,56.400002,56.400002,56.400002,328828
2020-10-28,59.200001,59.200001,59.200001,59.200001,59.200001,34101
2020-10-29,62.150002,62.150002,62.150002,62.150002,62.150002,53073
2020-10-30,65.250000,65.250000,65.250000,65.250000,65.250000,69016
2020-11-02,68.500000,68.500000,68.500000,68.500000,68.500000,89175
2020-11-03,71.900002,71.900002,71.900002,71.900002,71.900002,42237
2020-11-04,75.449997,75.449997,75.449997,75.449997,75.449997,62869
2020-11-05,79.099998,79.199997,71.699997,71.699997,71.699997,802840
2020-11-06,68.150002,68.150002,68.150002,68.150002,68.150002,71307
2020-11-09,64.750000,64.750000,64.750000,64.750000,64.750000,81971
2020-11-10,61.549999,62.700001,61.549999,61.549999,61.549999,439500
2020-11-11,58.500000,58.500000,58.500000,58.500000,58.500000,28346
2020-11-12,55.599998,55.599998,55.599998,55.599998,55.599998,20674
2020-11-13,52.849998,52.849998,52.849998,52.849998,52.849998,33201
2020-11-14,null,null,null,null,null,null
2020-11-17,47.750000,52.750000,47.750000,52.750000,52.750000,464480
2020-11-18,54.250000,55.349998,50.250000,55.349998,55.349998,340537
2020-11-19,58.099998,58.099998,56.299999,58.099998,58.099998,160996
2020-11-20,61.000000,61.000000,60.700001,61.000000,61.000000,147284
2020-11-23,64.050003,64.050003,57.950001,64.050003,64.050003,517423
2020-11-24,65.349998,67.250000,64.050003,67.250000,67.250000,160804
2020-11-25,69.500000,70.599998,67.500000,70.599998,70.599998,372668
2020-11-26,72.000000,73.000000,67.099998,71.550003,71.550003,489704
2020-11-27,72.949997,72.949997,68.000000,68.949997,68.949997,190351
2020-12-01,71.250000,71.250000,67.500000,69.500000,69.500000,144346
2020-12-02,71.000000,71.000000,68.000000,69.400002,69.400002,180799
2020-12-03,70.000000,70.500000,68.000000,69.699997,69.699997,127595
2020-12-04,70.000000,71.750000,68.550003,69.150002,69.150002,155809
2020-12-07,69.500000,72.599998,68.550003,71.449997,71.449997,191179
2020-12-08,75.000000,75.000000,75.000000,75.000000,75.000000,74184
2020-12-09,78.750000,78.750000,78.750000,78.750000,78.750000,42726
2020-12-10,82.650002,82.650002,82.650002,82.650002,82.650002,47144
2020-12-11,86.750000,86.750000,86.750000,86.750000,86.750000,34126
